1000 top plays:
Rank | Name | PP | Speed | TextID | Text
72 | Izzy#9616 | 459.61627 | 211.2 |  928 | "This is the feeling of being lonely. Every time I…
73 | Izzy#9616 | 458.7483 | 189.17 |  67 | You know what? You're right. He was just a stupid …
74 | slekap#0975 | 458.4914 | 182.3 |  21 | This beastly predator's aggressive ejection of hig…
75 | slekap#0975 | 458.23837 | 221.56 |  2099 | If you're just looking for raw speed, then do all …
76 | adeline#9262 | 457.84006 | 228.81 |  265 | Imprisoned for ten thousand years. Banished from m…
77 | slekap#0975 | 457.80045 | 196 |  2368 | The pact is sealed! I shall destroy Billy Westlake…
78 | Izzy#9616 | 457.6099 | 215.21 |  129 | After graduating from our school, they went into t…
79 | Izanagi#2022 | 457.318 | 205.89 |  18 | Your biggest concern while in this realm will like…
80 | joshu#7412 | 457.1696 | 196.73 |  2234 | Alright, close your eyes. I want you to think of a…
81 | Izzy#9616 | 456.66626 | 212.33 |  49 | We have learned to fear our planet and fled to the…
82 | Izzy#9616 | 455.464 | 203.08 |  52 | It was a merry journey with Tom Bombadil trotting …
83 | joshu#7412 | 454.9908 | 184.41 |  217 | Only boxers can understand the loneliness of tenni…
84 | Izanagi#2022 | 454.69348 | 205.59 |  1602 | Come on, there's something I need to show you. I'v…
85 | Alternator#5442 | 453.1935 | 224.7 |  1185 | Limitations foster creativity. Tell an artist to p…
86 | Izzy#9616 | 452.99844 | 181 |  21 | This beastly predator's aggressive ejection of hig…
87 | Izzy#9616 | 452.15234 | 228.41 |  24 | Were you in love with him? I guess I'll never real…
88 | slekap#0975 | 452.13495 | 181.53 |  2218 | I had seen him cry a few times before. It only hap…
89 | Izzy#9616 | 452.00797 | 219.07 |  1453 | If I don't turn off the collider after you leave, …
90 | Izzy#9616 | 450.69415 | 198.03 |  54 | When the comet last came, my grandfather, Fire Lor…
91 | Izzy#9616 | 450.4612 | 237.3 |  718 | My name is Thomas, he thought. That... that was th…
92 | Izzy#9616 | 450.3302 | 210.4 |  1778 | Science isn't about WHY. It's about WHY NOT. Why i…
93 | slekap#0975 | 449.9416 | 202.88 |  944 | If men learn this, it will implant forgetfulness i…
94 | Kathy#2820 | 449.54834 | 180.13 |  2189 | Our story begins a very, very long time ago with a…
95 | slekap#0975 | 449.45987 | 206.25 |  1673 | Proud enough for you to call me arrogant, greedy e…
96 | Izzy#9616 | 447.2762 | 186.03 |  1742 | The naming conventions of Python's library are a b…
97 | Izzy#9616 | 446.68384 | 225.44 |  914 | Exactly what you run from, you end up chasing. Lik…
98 | joshu#7412 | 446.63428 | 217.81 |  75 | I know. I mean, I know, but I don't always know, y…
99 | Izzy#9616 | 446.04367 | 243.78 |  188 | The last ones standing are the victors. Only the s…
100 | Izzy#9616 | 445.41263 | 211.48 |  145 | What is the cause of historical events? Power. Wha…
101 | IZANAGI#6744 | 445.23062 | 199.95 |  126 | This neighborhood is a lifeboat in a storm we can'…
102 | joshu#7412 | 444.54874 | 204.23 |  1875 | It won't be long now, love, like mist I slowly fil…
103 | Izzy#9616 | 444.48584 | 207.94 |  167 | Would you really dig into yesterday's garbage to m…
104 | flaneur#8184 | 444.36157 | 206.11 |  1149 | I walked over to the hill where we used to go and …
105 | Izzy#9616 | 443.90045 | 240.79 |  176 | There was never any more inception than there is n…
106 | Izanagi#2022 | 443.43515 | 180.15 |  213 | I don't know how much you understand about what is…
107 | Izzy#9616 | 443.12454 | 224.21 |  128 | People, I have discovered, are layers and layers o…
108 | Izzy#9616 | 442.98492 | 236.14 |  300 | We found a blanket, and pillows, down there, and, …
109 | Izzy#9616 | 442.66623 | 186.81 |  1898 | Lost in a dream, finally it seems, emptiness and e…
110 | shaz#8698 | 442.33682 | 199.13 |  126 | This neighborhood is a lifeboat in a storm we can'…
111 | Izzy#9616 | 442.22763 | 188.28 |  137 | I walked up to Griz and poked him in the chest. "L…
112 | slekap#0975 | 442.11472 | 257.04 |  2293 | If you do not believe that you are the best, then …
113 | joshu#7412 | 441.74536 | 168.74 |  86 | Life is a series of decisions. Whether you make th…
114 | IZANAGI#6744 | 441.12494 | 209.53 |  1667 | Searching for my angel, I know I must believe I'm …
115 | Adamsky#6420 | 440.16718 | 247.08 |  688 | There was no sign of human life in that quiet plac…
116 | Vielle#4742 | 439.65323 | 191.81 |  116 | For several days ensuing, her name was unmentioned…
117 | Adamsky#6420 | 439.31497 | 193.59 |  114 | And my friend said, "I know you love her, but it's…
118 | flaneur#8184 | 439.1401 | 190.25 |  2026 | I'm sorry, but I don't want to be an emperor. That…
119 | dinkD#5956 | 438.82718 | 168.94 |  210 | Oh, I'm a goofy goober, yeah! You're a goofy goobe…
120 | flaneur#8184 | 438.46954 | 184.33 |  1255 | Why would Andy want you? Look at you! You're a Buz…
121 | Izzy#9616 | 438.36237 | 210.17 |  162 | If you can talk with crowds and keep your virtue, …
122 | joshu#7412 | 436.82043 | 222.78 |  1144 | I think that if I ever have kids, and they are ups…
123 | chak#8878 | 436.50662 | 206.17 |  1746 | Haskell is a purely functional programming languag…
124 | Izzy#9616 | 436.1312 | 199.77 |  18 | Your biggest concern while in this realm will like…
125 | Adamsky#6420 | 436.07162 | 208.89 |  991 | The further they walk, the more wheelchairs appear…
126 | flaneur#8184 | 435.58142 | 184.36 |  1461 | Miles, it's your dad. Please open the door. Miles,…
127 | adeline#9262 | 435.54272 | 187.63 |  2081 | Consider this claim: as I walk along, time - as me…
128 | flaneur#8184 | 435.29523 | 185.5 |  1541 | You're on the phone with your girlfriend, she's up…
129 | adeline#9262 | 435.2169 | 183.51 |  1255 | Why would Andy want you? Look at you! You're a Buz…
130 | Adamsky#6420 | 435.05414 | 236.42 |  792 | Waldinger found that those who were happiest and h…
131 | Izzy#9616 | 434.90936 | 197.98 |  1739 | For decades the recommended style was to break aft…
132 | Izzy#9616 | 434.8447 | 178.51 |  28 | The Terminator's an infiltration unit. Part man, p…
133 | Izzy#9616 | 434.66055 | 217.1 |  17 | I must not fear. Fear is the mind-killer. Fear is …
134 | uWu#8988 | 434.34314 | 179.39 |  217 | Only boxers can understand the loneliness of tenni…
135 | Izzy#9616 | 434.17856 | 235.56 |  44 | You sound like my nephew, always thinking you need…
136 | joshu#7412 | 433.746 | 197.08 |  1607 | Congratulations on not being dead, curly. You surp…
137 | Adamsky#6420 | 433.63593 | 213.31 |  832 | I love you all the same, it's just a situation. Do…
138 | Izzy#9616 | 433.2845 | 211.75 |  76 | Over these last two nights, you've drawn an outlin…
139 | Izzy#9616 | 433.21948 | 216.51 |  23 | For one trillion years I've been trapped in my own…
140 | slekap#0975 | 432.88895 | 192.97 |  1343 | Thank you, Arnold, for bringing this very serious …
141 | flaneur#8184 | 432.6096 | 190.15 |  1823 | Don't touch anything else. Don't even look at anyt…
142 | Izzy#9616 | 431.858 | 194.46 |  150 | There's a word like overprotective to describe som…
143 | joshu#7412 | 430.73062 | 198.21 |  18 | Your biggest concern while in this realm will like…
144 | Adamsky#6420 | 430.18823 | 175.7 |  1271 | Cherry MX Brown and Cherry MX Brown RGB switches a…
145 | Izzy#9616 | 429.82663 | 200.06 |  1613 | I've been staring at the edge of the water long as…
146 | joshu#7412 | 429.56116 | 184.71 |  1414 | Then I can go on to eliminate all the other annoya…
147 | Izzy#9616 | 429.53796 | 229.25 |  152 | Life is like a tray of fruits. Some fruits are sou…
148 | IZANAGI#6744 | 429.51657 | 255.69 |  395 | The greatest glory in living lies not in never fal…
149 | IZANAGI#6744 | 429.38583 | 218.79 |  962 | Every day I'm here, I think: Why did it ever come …
150 | joshu#7412 | 429.34366 | 261.63 |  759 | Through these eyes the threads of the warp are dra…
151 | Izzy#9616 | 429.3394 | 220.35 |  61 | You're so afraid of losing the people that you lov…
152 | IZANAGI#6744 | 429.212 | 202.97 |  1871 | 'For I am not going to tell you my name, not yet a…
153 | chak#8878 | 428.64313 | 190.86 |  81 | We tend to think that we are happier if we take th…
154 | slekap#0975 | 428.54218 | 208.91 |  1994 | There were many more mouths to feed now. In the au…
155 | flaneur#8184 | 428.44443 | 202.1 |  175 | Are you even listening? Look at me! These kids bel…
156 | Adamsky#6420 | 428.02063 | 195.29 |  261 | The man that I named the Giver passed along to the…
157 | Izzy#9616 | 427.74707 | 200.96 |  15 | With a silent order, I urged Snout forward but he …
158 | joshu#7412 | 427.69852 | 199.49 |  2197 | What do you know of your scientific name? - amoeba…
159 | shaz#8698 | 427.41144 | 209.88 |  76 | Over these last two nights, you've drawn an outlin…
160 | Izzy#9616 | 427.3454 | 223.67 |  219 | Freed from the thoughts of winning, I instantly pl…
161 | Izanagi#2022 | 427.25443 | 209.83 |  76 | Over these last two nights, you've drawn an outlin…
162 | Adamsky#6420 | 427.25107 | 196.37 |  944 | If men learn this, it will implant forgetfulness i…
163 | Mark#4383 | 426.90613 | 200.71 |  15 | With a silent order, I urged Snout forward but he …
164 | joshu#7412 | 426.82272 | 188.95 |  170 | I stood on tiptoe, hastily looked around once more…
165 | Sean#8545 | 426.8094 | 182.94 |  19 | In 2291, in an attempt to control violence among d…
166 | Adamsky#6420 | 426.31894 | 198.69 |  1680 | Stardust is falling down to the ground. We found s…
167 | Izzy#9616 | 426.1312 | 228.74 |  571 | He was discernibly trying to take for granted more…
168 | John#5407 | 426.08765 | 192.87 |  1567 | For as long as I could remember, I've done everyth…
169 | Adamsky#6420 | 425.9734 | 201.36 |  175 | Are you even listening? Look at me! These kids bel…
170 | shaz#8698 | 425.63724 | 213.46 |  100 | You choose a thankless job. You can't be upset whe…
171 | Izzy#9616 | 424.98254 | 199.32 |  405 | But now, for the first time, I see you are a man l…
172 | Izzy#9616 | 424.98093 | 211.51 |  68 | What's going on here? According to my illegal key …
173 | Izzy#9616 | 424.68954 | 225.77 |  957 | To be successful in sport is not a chance. It's a …
174 | Izzy#9616 | 424.63684 | 214.04 |  207 | Overconfidence leads to hubris, while too much hum…
175 | Izzy#9616 | 424.5481 | 214.26 |  127 | Everyone is guilty of something, and everyone stil…
176 | Kathy#2820 | 423.6698 | 179.66 |  964 | It's all meaningless. No matter what dreams or hop…
177 | joshu#7412 | 423.64847 | 219.18 |  1165 | It's a rare day when she speaks in anything but pl…
178 | chak#8878 | 423.63834 | 189.77 |  1815 | This next test involves the Aperture Science Aeria…
179 | IZANAGI#6744 | 423.1557 | 190.99 |  1537 | I've made mistakes. I could have treated you bette…
180 | chak#8878 | 422.9315 | 201.23 |  90 | Most winemakers, therefore, and certainly all conc…
181 | slekap#0975 | 422.22498 | 208.03 |  1599 | Self-actualization is the important thing. And my …
182 | slekap#0975 | 422.0617 | 189.34 |  1725 | There was value in the thing. Clearly. Of that the…
183 | slekap#0975 | 422.01364 | 201.81 |  1778 | Science isn't about WHY. It's about WHY NOT. Why i…
184 | Izzy#9616 | 422.00598 | 217.35 |  252 | Mankind is the animal that makes tools. In each ge…
185 | slekap#0975 | 421.92038 | 204.41 |  227 | What do you know of death? Have you ever died? You…
186 | slekap#0975 | 421.89563 | 191.62 |  53 | Two lovers, forbidden from one another, the war di…
187 | Izanagi#2022 | 421.81042 | 243.36 |  117 | You know that you've found something amazing, and …
188 | joshu#7412 | 421.79752 | 221.5 |  154 | Fear was always a part of life for the people. Bec…
189 | Adamsky#6420 | 421.7784 | 242.93 |  197 | Even if a game doesn't seem clearable at first, af…
190 | Adamsky#6420 | 421.67 | 192.62 |  1304 | That stuff would've informed you that this particu…
191 | IZANAGI#6744 | 421.54727 | 186.28 |  1773 | Haskell's combination of purity, higher order func…
192 | Izzy#9616 | 421.2788 | 221.43 |  287 | And you... how are you any better? Why do humans t…
193 | Adamsky#6420 | 421.23248 | 198.6 |  1107 | A long, long time ago, I can still remember how th…
194 | Izzy#9616 | 420.20856 | 218.54 |  149 | Some things you just can't explain. You don't even…
195 | slekap#0975 | 420.17148 | 198.46 |  1444 | Oh, when you walk by every night, talking sweet an…
196 | Adamsky#6420 | 419.7621 | 167.91 |  112 | Atticus said to Jem one day, "I'd rather you shot …
197 | adeline#9262 | 419.5353 | 161.26 |  1427 | Good morning, Agent P. Dr. Doofenshmirtz is on the…
198 | flaneur#8184 | 419.4014 | 195.36 |  1602 | Come on, there's something I need to show you. I'v…
199 | joshu#7412 | 419.0783 | 240.31 |  563 | One arm dropped over the edge of the bed, one leg …
200 | slekap#0975 | 418.95023 | 203.6 |  232 | I don't tip because society says I have to. All ri…
201 | joshu#7412 | 418.75845 | 210.76 |  73 | You step outside, you risk your life. You take a d…
202 | Izzy#9616 | 417.94827 | 200.28 |  1060 | Throughout the entire structure well guarded mazes…
203 | flaneur#8184 | 417.8107 | 210.45 |  73 | You step outside, you risk your life. You take a d…
204 | Adamsky#6420 | 417.74713 | 178.18 |  964 | It's all meaningless. No matter what dreams or hop…
205 | Adamsky#6420 | 417.58124 | 174.62 |  1261 | Buzz Lightyear Mission Log. Stardate 4072: My ship…
206 | Adamsky#6420 | 417.5427 | 194.3 |  1664 | Even if we fell down on the ground, we strongly be…
207 | Izzy#9616 | 417.50708 | 185.96 |  77 | These are cookies. This is not breakfast. You are …
208 | Sean#8545 | 417.46735 | 184.17 |  51 | We're no strangers to love. You know the rules and…
209 | joshu#7412 | 417.27304 | 213.03 |  2132 | You are not machines! You are not cattle! You are …
210 | Adamsky#6420 | 417.25766 | 186.41 |  1740 | In Python, single-quoted strings and double-quoted…
211 | Izzy#9616 | 416.99118 | 195.61 |  1074 | Security, like backing up, is one of those topics …
212 | slekap#0975 | 416.93518 | 174.94 |  240 | For twelve years you've been asking "Who is John G…
213 | Adamsky#6420 | 416.9287 | 181.99 |  132 | Making mistakes is part of learning to choose well…
214 | Izzy#9616 | 416.8586 | 190.05 |  244 | Remembering that I'll be dead soon is the most imp…
215 | IZANAGI#6744 | 416.81525 | 193.64 |  2178 | There was a man Dill had heard of who had a boat t…
216 | Vielle#4742 | 416.6762 | 197.25 |  1107 | A long, long time ago, I can still remember how th…
217 | Jashe#4682 | 416.54367 | 202.84 |  991 | The further they walk, the more wheelchairs appear…
218 | Izzy#9616 | 416.38483 | 214.49 |  164 | You have brains in your head. You have feet in you…
219 | Izanagi#2022 | 416.26825 | 188.54 |  54 | When the comet last came, my grandfather, Fire Lor…
220 | Izzy#9616 | 416.0208 | 195.66 |  82 | On a clear day you can see for twenty-five miles i…
221 | Adamsky#6420 | 415.91916 | 174.15 |  1379 | Oh, I'm real. Real enough to defeat YOU! And I did…
222 | Adamsky#6420 | 415.8383 | 195.03 |  105 | Ever since the dawn of civilization, people have n…
223 | Izzy#9616 | 415.74527 | 213.85 |  148 | You have a good many little gifts and virtues, but…
224 | Izzy#9616 | 415.7087 | 175.44 |  414 | I don't get it. I made my house a mess, which was …
225 | joshu#7412 | 415.05627 | 228.16 |  25 | The reason your attention isn't great is because y…
226 | Izanagi#2022 | 414.76645 | 187.07 |  81 | We tend to think that we are happier if we take th…
227 | chak#8878 | 414.66043 | 205.82 |  76 | Over these last two nights, you've drawn an outlin…
228 | adeline#9262 | 414.4975 | 255.78 |  2391 | I think there should be a rule that everyone in th…
229 | joshu#7412 | 414.40012 | 200.78 |  1831 | Before re-entering a relaxation vault at the concl…
230 | flaneur#8184 | 414.1092 | 195.1 |  82 | On a clear day you can see for twenty-five miles i…
231 | Izanagi#2022 | 414.10297 | 190.38 |  903 | It's the ship that made the Kessel run in less tha…
232 | Vielle#4742 | 413.87927 | 192.49 |  897 | Gary can't you see I was blind? I'll do anything t…
233 | Vielle#4742 | 413.7827 | 204.53 |  1889 | Bow down to me, we will never understand, then tak…
234 | Izzy#9616 | 413.40988 | 234.52 |  719 | He has of course no use for a careless cutter, who…
235 | shaz#8698 | 413.1835 | 213.6 |  48 | I don't know about you, but I'm feeling 22. Everyt…
236 | Adamsky#6420 | 413.15976 | 222.66 |  977 | If you feel yourself hitting up against your limit…
237 | Izzy#9616 | 413.08987 | 194.85 |  124 | It'd be like looking for a needle in a burning hay…
238 | shaz#8698 | 413.06985 | 210.96 |  104 | If there really is a complete unified theory that …
239 | IZANAGI#6744 | 413.01654 | 215.83 |  1286 | If nature has made you for a giver, your hands are…
240 | shaz#8698 | 412.88214 | 186.53 |  107 | It was a dark and stormy night; the rain fell in t…
241 | Izzy#9616 | 412.53488 | 191.51 |  108 | For instance, on the planet Earth, man had always …
242 | flaneur#8184 | 412.4818 | 179.05 |  1884 | What's become of the world, the colors unfurl reve…
243 | Vielle#4742 | 412.32504 | 179.01 |  1884 | What's become of the world, the colors unfurl reve…
244 | joshu#7412 | 412.2707 | 214.08 |  1339 | Man, Arnold. I can't believe it. Your last day of …
245 | flaneur#8184 | 412.2125 | 186.65 |  1901 | When the night meets the day, I'll be watchin' the…
246 | Izzy#9616 | 411.79407 | 217.18 |  788 | Some old people keep young at heart in spite of wr…
247 | slekap#0975 | 411.7198 | 194.07 |  1074 | Security, like backing up, is one of those topics …
248 | Izzy#9616 | 411.66663 | 199.36 |  980 | Have you seen the two-hundred-foot-long billboards…
249 | IZANAGI#6744 | 411.59738 | 248.75 |  1164 | All men contain several men inside them, and most …
250 | shaz#8698 | 410.71814 | 212.9 |  164 | You have brains in your head. You have feet in you…
251 | Izzy#9616 | 410.6917 | 194.58 |  83 | While Dorothy was looking earnestly into the queer…
252 | Izanagi#2022 | 410.65775 | 194.57 |  83 | While Dorothy was looking earnestly into the queer…
253 | IZANAGI#6744 | 410.63507 | 206.83 |  2388 | As the harbor shrinks, growing fainter in the dist…
254 | slekap#0975 | 410.0547 | 243.86 |  775 | Not until he wakes up some morning with the poorho…
255 | Izzy#9616 | 409.73697 | 206.05 |  157 | I was looking for myself and asking everyone excep…
256 | Izzy#9616 | 409.5142 | 191.31 |  60 | Oh, you have to trust me, Regina. I know best. Lov…
257 | Adamsky#6420 | 409.31824 | 161.77 |  86 | Life is a series of decisions. Whether you make th…
258 | Izzy#9616 | 409.26132 | 195.99 |  1331 | It's 7:00 on KILL. This one goes out to Arnold, wh…
259 | Izzy#9616 | 409.1248 | 203.39 |  183 | People always make the mistake of thinking art is …
260 | Izanagi#2022 | 409.03232 | 184.15 |  170 | I stood on tiptoe, hastily looked around once more…
261 | chak#8878 | 409.0145 | 221.75 |  122 | Just remember who you are... The world will try to…
262 | slekap#0975 | 408.81268 | 193.9 |  1626 | Yeah, yeah, yeah, yeah. I'll be right there. And w…
263 | Vielle#4742 | 408.65503 | 181.84 |  51 | We're no strangers to love. You know the rules and…
264 | Adamsky#6420 | 408.61768 | 193.97 |  83 | While Dorothy was looking earnestly into the queer…
265 | Izzy#9616 | 408.52966 | 203.35 |  96 | I call this turf 'n' turf. It's a 16-ounce T-bone …
266 | Izzy#9616 | 408.51443 | 211.28 |  212 | Friendship - my definition - is built on two thing…
267 | Izzy#9616 | 408.43237 | 220.56 |  666 | Then they were all formally doomed, and some of th…
268 | Izzy#9616 | 408.29974 | 207.34 |  924 | You can't do anything without certainty. The world…
269 | Vielle#4742 | 408.26318 | 176.24 |  1742 | The naming conventions of Python's library are a b…
270 | flaneur#8184 | 407.79633 | 179.62 |  132 | Making mistakes is part of learning to choose well…
271 | Izzy#9616 | 407.40536 | 207.66 |  94 | I don't like loud noises and people making a fuss …
272 | joshu#7412 | 407.2175 | 191.59 |  2336 | You think, "I've been running every day for a mont…
273 | oats#8312 | 407.0478 | 192.77 |  1736 | Continuation lines should align wrapped elements e…
274 | Izzy#9616 | 406.8876 | 189.02 |  113 | Nothing in this world can take the place of good o…
275 | slekap#0975 | 406.76398 | 207.02 |  397 | Engage people with what they expect; it is what th…
276 | Adamsky#6420 | 406.75858 | 176.41 |  1355 | Superladies, they're always trying to tell you the…
277 | joshu#7412 | 406.68845 | 217.65 |  1575 | You're a slacker. You say you want things but you'…
278 | Izzy#9616 | 406.6163 | 198.88 |  155 | He saw Forest and understood what Seer had meant. …
279 | Izzy#9616 | 406.49033 | 202.66 |  165 | We caught fish, and talked, and we took a swim now…
280 | adeline#9262 | 406.35916 | 223.72 |  1452 | There's always a bypass key, a virus key, a who-ca…
281 | Adamsky#6420 | 406.25784 | 192.8 |  82 | On a clear day you can see for twenty-five miles i…
282 | joshu#7412 | 406.209 | 176.64 |  412 | This is the story of a man named Stanley. Stanley …
283 | slekap#0975 | 405.8203 | 195.23 |  1376 | Shh. It isn't your fault. It wasn't fair for me to…
284 | Adamsky#6420 | 405.73297 | 242.63 |  852 | Perhaps the children had found out the universal l…
285 | Vielle#4742 | 405.68616 | 188.95 |  261 | The man that I named the Giver passed along to the…
286 | slekap#0975 | 405.57654 | 190.18 |  60 | Oh, you have to trust me, Regina. I know best. Lov…
287 | Vielle#4742 | 405.50323 | 178.38 |  215 | It's no accident, I think, that tennis uses the la…
288 | Adamsky#6420 | 405.47052 | 178.37 |  2094 | I continued getting better every day - after two w…
289 | Izanagi#2022 | 405.32938 | 183.99 |  1805 | Now, if you're part of Control Group Kepler-Seven,…
290 | Izzy#9616 | 405.1589 | 219.27 |  1406 | Go ahead. Eat all you want. My dreams are smashed …
291 | carlibou#0015 | 404.93295 | 179.37 |  1670 | What is your shady scheme? It must be so dangerous…
